provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1983 21   0.48,  0.59,  1.45,  2.96,  4.84,  7.53, 11.46, 13.39, 13.45, 12.32, 13.07,  7.53,  5.11,  3.07,  1.61,  0.59,  0.54,  0.00,  0.00,  0.00,  0.00
1983 22   0.27,  0.38,  1.29,  2.47,  4.79,  9.74, 13.34, 13.77, 12.91, 12.91, 10.92,  6.99,  5.22,  2.47,  1.45,  0.48,  0.27,  0.27,  0.05,  0.00,  0.00
1983 23   0.05,  0.38,  1.08,  2.21,  4.73,  7.75, 12.53, 12.91, 14.25, 12.69, 12.48,  6.94,  5.43,  3.23,  1.83,  0.70,  0.27,  0.38,  0.16,  0.00,  0.00
1983 24   0.05,  0.16,  0.70,  1.99,  4.20,  6.46, 10.38, 12.00, 14.25, 13.77, 13.29,  8.50,  5.70,  4.20,  1.88,  1.24,  0.54,  0.43,  0.27,  0.00,  0.00
1983 25   0.11,  0.00,  0.38,  1.51,  3.34,  5.97,  8.18, 12.05, 14.42, 13.66, 14.20,  8.66,  7.48,  4.09,  2.85,  1.34,  1.13,  0.27,  0.16,  0.22,  0.00
1983 26   0.11,  0.00,  0.16,  0.91,  2.15,  4.14,  6.29, 10.33, 13.56, 13.29, 16.25, 10.65,  8.23,  5.81,  3.60,  2.10,  1.29,  0.54,  0.43,  0.16,  0.00
1983 27   0.11,  0.05,  0.05,  0.54,  1.13,  3.44,  4.90,  8.77, 12.43, 14.25, 15.71, 12.32, 10.33,  6.62,  3.77,  3.01,  1.56,  0.22,  0.70,  0.11,  0.00
1983 28   0.05,  0.11,  0.05,  0.11,  0.97,  1.99,  4.20,  7.69, 11.46, 13.45, 17.00, 14.15, 10.81,  8.28,  4.25,  2.80,  1.51,  0.75,  0.32,  0.05,  0.00
1983 29   0.00,  0.05,  0.11,  0.05,  0.43,  1.13,  2.42,  6.62,  9.95, 11.24, 16.62, 14.63, 13.61, 10.27,  6.29,  2.90,  2.42,  0.86,  0.32,  0.00,  0.05
1983 30   0.00,  0.00,  0.00,  0.16,  0.16,  0.75,  1.67,  3.82,  6.56, 10.70, 14.58, 16.46, 13.18, 12.32,  8.18,  6.08,  3.17,  1.40,  0.70,  0.05,  0.05
1983 31   0.00,  0.00,  0.00,  0.05,  0.00,  0.38,  0.97,  2.37,  4.41,  8.55, 12.10, 14.15, 14.09, 12.59, 10.70,  7.58,  5.49,  3.60,  1.72,  1.02,  0.22
1983 32   0.00,  0.00,  0.00,  0.05,  0.00,  0.11,  0.81,  1.78,  3.71,  7.15, 10.44, 12.69, 13.23, 13.50,  9.74,  8.77,  6.56,  4.95,  3.28,  2.21,  1.02
1983 33   0.00,  0.00,  0.00,  0.05,  0.00,  0.05,  0.81,  1.56,  3.44,  5.86,  9.79, 12.37, 12.16, 12.80, 11.40,  9.95,  6.29,  5.38,  3.93,  2.64,  1.51
1983 34   0.00,  0.00,  0.00,  0.05,  0.00,  0.22,  0.65,  1.67,  2.31,  6.08,  8.71, 11.67, 13.23, 13.07, 12.75, 10.44,  6.72,  5.16,  3.66,  2.31,  1.29
1983 35   0.00,  0.00,  0.00,  0.16,  0.27,  0.54,  1.29,  2.64,  5.22,  7.85, 10.17, 13.07, 13.72, 13.34, 10.92,  7.26,  5.70,  4.52,  2.21,  1.08,  0.05
1983 36   0.00,  0.05,  0.00,  0.43,  0.43,  1.24,  2.85,  5.11,  8.66, 10.92, 12.53, 13.56, 13.13, 10.76,  7.85,  5.27,  3.50,  2.26,  1.18,  0.27,  0.00
1983 37   0.00,  0.16,  0.38,  0.91,  1.72,  3.01,  7.26,  9.41, 12.64, 13.13, 13.93, 12.75,  9.47,  6.24,  4.03,  2.42,  1.40,  0.91,  0.22,  0.00,  0.00
1983 38   0.11,  0.22,  0.81,  1.56,  2.64,  6.83, 10.92, 11.62, 15.87, 13.45, 12.75,  9.14,  5.49,  3.77,  2.74,  1.02,  0.86,  0.11,  0.11,  0.00,  0.00
1983 39   0.00,  0.16,  0.75,  0.86,  2.96,  6.67, 11.57, 14.15, 18.40, 13.77, 12.37,  7.37,  4.90,  2.96,  2.10,  0.54,  0.32,  0.11,  0.05,  0.00,  0.00
1983 40   0.00,  0.05,  0.54,  1.78,  3.44,  9.14, 15.55, 19.04, 15.65, 13.18, 10.01,  5.49,  3.34,  1.29,  0.86,  0.48,  0.11,  0.05,  0.00,  0.00,  0.00
1983 41   0.05,  0.05,  0.48,  1.24,  4.90, 11.14, 17.59, 20.76, 16.25, 13.13,  7.21,  3.66,  2.10,  0.97,  0.38,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00
1983 42   0.00,  0.00,  0.43,  1.78,  6.13, 14.42, 19.80, 21.03, 15.87, 10.38,  5.65,  2.90,  1.13,  0.38,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 43   0.00,  0.00,  0.05,  0.81,  5.38, 11.83, 20.66, 20.49, 18.99, 10.81,  6.19,  3.23,  1.24,  0.22,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 44   0.00,  0.00,  0.16,  1.18,  6.72, 15.33, 22.43, 17.70, 16.30, 10.33,  6.08,  2.47,  1.02,  0.22,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 45   0.00,  0.00,  0.11,  1.40,  6.83, 17.81, 22.43, 19.63, 12.53, 10.76,  4.73,  2.85,  0.59,  0.27,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 46   0.00,  0.00,  0.00,  0.43,  4.68, 13.82, 21.52, 21.62, 14.52,  9.52,  7.37,  4.09,  1.61,  0.48,  0.27,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00
1983 47   0.00,  0.00,  0.00,  0.22,  2.31, 10.87, 20.23, 22.22, 16.68, 10.97,  6.29,  5.22,  2.58,  1.72,  0.54,  0.11,  0.00,  0.05,  0.00,  0.00,  0.00
1983 48   0.00,  0.00,  0.00,  0.38,  2.80, 13.18, 21.46, 22.86, 15.55,  9.74,  6.40,  4.09,  1.99,  1.13,  0.27,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00
1983 49   0.00,  0.00,  0.05,  0.43,  4.30, 14.09, 21.73, 22.05, 17.70,  9.74,  4.46,  3.17,  1.61,  0.59,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 50   0.00,  0.00,  0.27,  1.40,  5.49, 15.55, 22.54, 20.98, 16.46,  7.91,  5.33,  3.12,  0.81,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 51   0.00,  0.05,  0.16,  2.80,  7.32, 16.30, 22.65, 18.83, 15.87,  8.71,  4.95,  1.99,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
